41.388477,2.128103
41.389157,2.130848
41.389260,2.131592
41.389465,2.132517
41.389619,2.133297
41.389710,2.133494
41.389648,2.133714
41.389790,2.134177
41.389864,2.134473
41.389978,2.134799
41.390103,2.135368
41.390234,2.135793
41.390445,2.136620
41.390650,2.136446
41.390439,2.136726
41.390183,2.137036
41.390034,2.137173
41.389909,2.137300
41.389721,2.137471
41.389642,2.137535
41.389626,2.137787
41.389738,2.138045
41.389718,2.138141
41.389630,2.138276
41.390052,2.137921
41.390145,2.137723
41.390418,2.137525
41.390547,2.137374
41.390732,2.137133
41.390532,2.137395
41.390616,2.137398
41.390777,2.137143
41.391027,2.136920
41.391258,2.136770
41.391524,2.136507
41.391445,2.136714
41.391640,2.136331
41.391683,2.135973
41.391774,2.135437
41.391879,2.134755
